Reaction ID;Reaction class;
4608548;DA;
1753496;DA;
8568137;DA;
8581112;DA;
5103511;DA;
1216454;DA;
1216468;DA;
1216505;DA;
1403796;DA;
1216470;DA;
4076868;DA;
2127650;DA;
4076865;DA;
4076867;DA;
2127687;DA;
4761826;DA;
4761827;DA;
36014374;DA;
2127680;DA;
2648040;DA;
4607194;DA;
4552408;DA;
4660307;DA;
2127689;DA;
2127669;DA;
997074;DA;
46601171;DA;
1216463;DA;
1216477;DA;
1216504;DA;
1216457;DA;
2127633;DA;
2127672;DA;
4477433;DA;
28529813;DA;
28529818;DA;
28529827;DA;
2674677;DA;
2549028;DA;
10416943;DA;
628180;DA;
1216453;DA;
2675024;DA;
11126894;DA;
1721917;DA;
1722225;DA;
1722226;DA;
4821449;DA;
1216444;DA;
946885;DA;
628187;DA;
628174;DA;
46220427;DA;
46220428;DA;
46220452;DA;
46220454;DA;
9598339;DA;
9793572;DA;
9797615;DA;
10019159;DA;
25990259;DA;
32464733;DA;
10025321;DA;
25929016;DA;
28649135;DA;
29511407;DA;
36014364;DA;
36014366;DA;
36014370;DA;
4926737;DA;
8813131;DA;
8833731;DA;
29030496;DA;
29132632;DA;
32544101;DA;
36014368;DA;
1574819;DA;
32232465;DA;
28529828;DA;
41301918;DA;
41301919;DA;
43052126;DA;
43052128;DA;
43052132;DA;
43052134;DA;
43052139;DA;
43052143;DA;
43632146;DA;
43052136;DA;
45579201;DA;
32232487;DA;
42185934;DA;
9812687;DA;
29030504;DA;
32126464;DA;
32126465;DA;
32126466;DA;
32126467;DA;
32126469;DA;
36014372;DA;
37937621;DA;
37937622;DA;
37937623;DA;
8987791;DA;
9082507;DA;
9082508;DA;
9082511;DA;
9082513;DA;
9082514;DA;
9082515;DA;
9082516;DA;
11273040;DA;
28204269;DA;
28204272;DA;
28204278;DA;
28204280;DA;
28204281;DA;
28204283;DA;
28204304;DA;
28204306;DA;
28204308;DA;
28204310;DA;
28204312;DA;
28204314;DA;
28204316;DA;
28204318;DA;
28204320;DA;
28204322;DA;
28204325;DA;
31469619;DA;
35102567;DA;
36014376;DA;
36014379;DA;
8578554;DA;
11273032;DA;
32126468;DA;
36014385;DA;
36072913;DA;
39971104;DA;
9021446;DA;
33663797;DA;
33663800;DA;
35044489;DA;
42469893;DA;
42469909;DA;
29030499;DA;
33663827;DA;
35512236;DA;
35512237;DA;
9408368;DA;
9408383;DA;
9408388;DA;
9442364;DA;
10019134;DA;
25990345;DA;
25990367;DA;
28767249;DA;
28767258;DA;
43742683;DA;
43742687;DA;
43742688;DA;
43742689;DA;
43742692;DA;
43742903;DA;
43742905;DA;
43742906;DA;
43742907;DA;
43742908;DA;
43742909;DA;
11151119;DA;
8892114;DA;
9935107;DA;
9977733;DA;
10244578;DA;
10282286;DA;
1215005;DA;
40845567;DA;
40845569;DA;
40845571;DA;
40845573;DA;
40845575;DA;
40845578;DA;
40845580;DA;
40845584;DA;
40845585;DA;
40845586;DA;
40845587;DA;
10282290;DA;
10324301;DA;
37588847;DA;
37588850;DA;
37588852;DA;
37588855;DA;
5197735;DA;
8821877;DA;
8827872;DA;
8833723;DA;
8833726;DA;
9021003;DA;
8833729;DA;
8833722;DA;
9021005;DA;
9021452;DA;
9021453;DA;
28529814;DA;
28529815;DA;
28529819;DA;
28529820;DA;
28529829;DA;
28529830;DA;
44696374;DA;
8833725;DA;
8833730;DA;
9401934;DA;
10491516;DA;
11087228;DA;
11251010;DA;
11251020;DA;
32464736;DA;
29085367;DA;
2448205;DA;
4487108;DA;
2478690;DA;
32184381;DA;
4181429;DA;
25968693;DA;
25968681;DA;
4461204;DA;
3793407;DA;
3841928;DA;
44471332;DA;
26024746;DA;
1640969;DA;
25968680;DA;
1640962;DA;
1721747;DA;
42526730;DA;
42526803;DA;
42526883;DA;
42527054;DA;
42527069;DA;
42527073;DA;
42527079;DA;
42527091;DA;
42527095;DA;
42527150;DA;
42527171;DA;
28404502;DA;
28404503;DA;
28404506;DA;
2127678;DA;
5331246;DA;
5331247;DA;
10127217;DA;
3533542;DA;
10231196;DA;
9642050;DA;
37370481;DA;
8822271;DA;
41044682;DA;
9640450;DA;
25968682;DA;
42527233;DA;
1568965;DA;
1538968;DA;
2673403;DA;
1973084;DA;
1640969;DA;
2673402;DA;
43797916;DA;
10488788;DA;
9151028;DA;
42526805;DA;
8760757;DA;
34256120;DA;
31582309;DA;
28404497;DA;
38564085;DA;
8806904;DA;
37600195;DA;
8806903;DA;
40781665;DA;
8863283;DA;
10019106;DA;
38675300;DA;
1972612;DA;
8900899;DA;
1722722;DA;
8805618;DA;
8805619;DA;
8800948;DA;
31582315;DA;
9211084;DA;
11045720;DA;
8800947;DA;
9058778;DA;
1746171;DA;
8886259;DA;
42526728;DA;
4171040;DA;
2479136;DA;
9151029;DA;
42525943;DA;
8836056;DA;
8836057;DA;
9180708;DA;
1783484;DA;
2673529;DA;
29053250;DA;
29053249;DA;
8609701;DA;
42527052;DA;
32603429;DA;
2060712;DA;
37600196;DA;
2890931;DA;
38190165;DA;
29053263;DA;
28404498;DA;
28482265;DA;
11045718;DA;
11045717;DA;
1640974;DA;
10102925;DA;
1640962;DA;
8618778;DA;
2215336;DA;
2215337;DA;
3962121;DA;
9770168;DA;
31133182;DA;
8739845;DA;
31133178;DA;
9445621;DA;
5275982;DA;
28183801;DA;
28482266;DA;
3292708;DA;
9062546;DA;
39594232;DA;
4814406;DA;
4297218;DA;
31133183;DA;
4338241;DA;
4791585;DA;
1721894;DA;
31402126;DA;
1627045;DA;
38564084;DA;
28183802;DA;
28482269;DA;
38564124;DA;
40781664;DA;
3791184;DA;
31133184;DA;
1627118;DA;
9713731;DA;
3788261;DA;
5103425;DA;
32983536;DA;
38675301;DA;
10026459;DA;
9712984;DA;
3293088;DA;
2127648;DA;
8875982;DA;
1128293;DA;
10276392;DA;
3800715;DA;
8805390;DA;
267;DA;
8760775;DA;
2891532;DA;
50014816;DA;
31133189;DA;
44153711;DA;
2674292;DA;
34763806;DA;
8875983;DA;
10036278;DA;
5067956;DA;
3791381;DA;
9802780;DA;
5103423;DA;
1538650;DA;
9242508;DA;
29053264;DA;
46700902;DA;
8805389;DA;
9062543;DA;
38564023;DA;
40484074;DA;
34763807;DA;
38564040;DA;
30149578;DA;
38564036;DA;
10553247;DA;
34914900;DA;
8875981;DA;
29123749;DA;
9770169;DA;
37517801;DA;
29053260;DA;
1722554;DA;
8929819;DA;
38564038;DA;
38564212;DA;
38564208;DA;
10022611;DA;
38564216;DA;
37517796;DA;
9270125;DA;
2127667;DA;
3842007;DA;
28238075;DA;
10468102;DA;
38511256;DA;
10504531;DA;
4811094;DA;
9342412;DA;
46700899;DA;
29053261;DA;
38125504;DA;
29788837;DA;
25980652;DA;
38564200;DA;
38564210;DA;
38564206;DA;
39084971;DA;
29154622;DA;
44623574;DA;
31402166;DA;
4768003;DA;
4811090;DA;
40484082;DA;
40484123;DA;
40484077;DA;
9713733;DA;
9713732;DA;
8743964;DA;
29053255;DA;
29053253;DA;
29053256;DA;
38125471;DA;
38125514;DA;
43521777;DA;
44153713;DA;
42527067;DA;
36067542;DA;
5259653;DA;
42527071;DA;
38564193;DA;
10376546;DA;
42527075;DA;
10376550;DA;
10027471;DA;
4768001;DA;
1824984;DA;
29085378;DA;
4811212;DA;
3793426;DA;
10376552;DA;
38125512;DA;
29788838;DA;
27936450;DA;
10376548;DA;
